Pergunta,Opção 1,Opção 2,Opção 3,Opção 4,Resposta
Qual é o elemento mais abundante no universo?,Oxigênio,Hélio,Hidrogênio,Carbono,3
Qual é a unidade fundamental da vida?,Molécula,Célula,Átomo,Tecido,2
Qual gás os humanos consomem na respiração para produzir energia?,Dióxido de carbono,Nitrogênio,Oxigênio,Metano,3
Qual é a velocidade aproximada da luz no vácuo?,300.000 km/s,150.000 km/s,1.000.000 km/s,30.000 km/s,1
Qual planeta do sistema solar é conhecido como o Planeta Vermelho?,Vênus,Júpiter,Marte,Mercúrio,3
Qual é a força que atrai os objetos em direção ao centro da Terra?,Atrito,Gravidade,Magnetismo,Tensão,2
Qual é o órgão humano responsável por filtrar o sangue e produzir urina?,Fígado,Coração,Rins,Pulmão,3
Qual é o símbolo químico do ouro?,Au,Ag,Fe,Pb,1
Qual das opções é um exemplo de animal anfíbio?,Tubarão,Sapo,Crocodilo,Baleia,2
Qual das camadas da Terra é a mais externa e sólida?,Manto,Núcleo Externo,Crosta,Núcleo Interno,3
