Pergunta,Opção 1,Opção 2,Opção 3,Opção 4,Resposta
Qual é a raiz quadrada de 144?,10,12,14,16,2
Quanto é 7 x 8?,48,54,56,64,3
Qual é o valor aproximado de Pi com duas casas decimais?,3.14,3.16,3.12,3.18,1
Quanto é 15% de 200?,20,25,30,35,3
Quantos lados tem um heptágono?,6,7,8,9,2
Qual é a soma dos ângulos internos de um triângulo?,90°,180°,270°,360°,2
Se x + 5 = 12 qual é o valor de x?,5,7,8,17,2
Qual é o menor número primo?,0,1,2,3,3
Quanto é 2 elevado à quinta potência (2⁵)?,10,16,32,64,3
Qual é a área de um quadrado com lado de 6 cm?,12 cm²,24 cm²,36 cm²,48 cm²,3
