Pergunta,Opção 1,Opção 2,Opção 3,Opção 4,Resposta
Em que ano começou a Segunda Guerra Mundial?,1914,1939,1945,1929,2
Quem foi o primeiro imperador do Império Romano?,Júlio César,Nero,Augusto,Marco Aurélio,3
Qual civilização construiu as pirâmides de Gizé?,Maias,Mesopotâmicos,Egípcios,Gregos,3
Quem foi o líder do Reino Unido durante a maior parte da Segunda Guerra Mundial?,Winston Churchill,Neville Chamberlain,Clement Attlee,Franklin D. Roosevelt,1
Em que ano caiu o Muro de Berlim?,1985,1989,1991,1975,2
Quem escreveu a declaração de independência dos Estados Unidos?,George Washington,Benjamin Franklin,Thomas Jefferson,John Adams,3
Qual evento deu início à Idade Contemporânea em 1789?,Revolução Industrial,Revolução Francesa,Queda de Constantinopla,Independência dos EUA,2
Quem foi o navegador português que realizou a primeira viagem marítima da Europa à Índia?,Vasco da Gama,Fernão de Magalhães,Bartolomeu Dias,Cristóvão Colombo,1
Em que século ocorreu a Revolução Industrial?,Século XV,Século XVI,Século XVIII,Século XX,3
Qual império foi governado por Alexandre o Grande?,Império Persa,Império Macedônio,Império Otomano,Império Bizantino,2
